nvml_pwr_limit,seq_len,Joules/token_mean,Joules/token_std,throughput_mean,throughput_std
100,128,7.495304791992877e-06,4.802444509797818e-06,16890.949182767017,6280.483720101628
100,256,76923.07692545623,277350.0981118996,47308.307814425105,16502.899407601017
100,512,76923.07692437145,277350.0981122256,93658.93030724517,35631.02074361368
100,786,76923.07692408473,277350.09811231174,143313.5086957239,57543.82229867497
100,1024,83333.33333391292,288675.1345946304,196961.0067374216,64902.909317610734
100,2048,62500.000000751934,249999.99999979947,255046.42592046745,169192.04824420012
100,4096,71428.57142881822,267261.2419123533,698879.1222236719,332307.8575756505
100,8192,83333.33333345705,288675.1345947739,1438913.5399548693,696562.0758679861
115,128,5.240101925156114e-06,1.1513538248100927e-06,20579.406680132222,3594.5548278044052
115,256,2.354795148824178e-06,7.964874292960091e-07,52728.26731026117,13599.980965510422
115,512,1.7731669366058716e-06,1.9053746703668246e-06,98871.55235936727,39890.36153581367
115,786,7.501070016096742e-07,2.7201151106195187e-07,167864.8531570432,40320.60829407173
115,1024,7.380911333409236e-07,4.998271454606381e-07,194293.10469200148,70118.54883973426
115,2048,4.1764665925878264e-07,1.9607579639804502e-07,325022.7588883911,169124.19627516446
115,4096,1.4394143146123144e-07,5.2197521409837446e-08,874776.639352734,210118.58978691834
115,8192,1.680970850574508e-07,2.1988488159782927e-07,1442718.5426395356,746305.3554659559
135,128,7.066128819357327e-06,3.019325171346506e-06,18421.23043555413,7679.048630828854
135,256,2.3300794478184977e-06,6.734636713411937e-07,57321.67089269869,9420.996623780573
135,512,1.247184354245706e-06,3.5262390236634435e-07,108437.51691843095,24989.559000267152
135,786,1.0222224167205634e-06,6.886996572244376e-07,154843.9425736676,57998.4962045727
135,1024,7.196542424878771e-07,3.774605957178244e-07,208938.5854042573,67282.77782881826
135,2048,6.640088360850456e-07,6.219517209209463e-07,264851.6813920687,153973.3253560778
135,4096,3.6627978326641254e-07,5.353158489566998e-07,756232.1934439132,355380.7732921194
135,8192,1.335301573899484e-07,1.7418010107254558e-07,1634410.252872155,631814.4618069128
150,128,5.521524154296201e-06,2.045962830750382e-06,23232.24402947701,7434.570871755525
150,256,3.7751915876154363e-06,3.201020128724766e-06,48502.717046336664,19847.542346379658
150,512,1.431545833509349e-06,5.045998914069619e-07,104290.27764543236,28350.01401172509
150,786,1.003148034427338e-06,4.2528185606584883e-07,154861.3305356847,49348.12602384317
150,1024,6.558505796763636e-07,2.1311364252937128e-07,217272.23420096398,48141.77779369736
150,2048,8.462191124183846e-07,8.775541766876503e-07,276349.8379777203,188169.8391612939
150,4096,3.5595234965995376e-07,5.820622987428747e-07,812072.0422706521,324258.013360393
150,8192,2.6519845396801145e-07,3.2311112974636367e-07,1285206.0482855244,807950.1307503686
165,128,5.580243213937839e-06,1.8089128269168146e-06,21973.279721402083,6377.700857999217
165,256,2.95327876501252e-06,1.3554057841069614e-06,52968.24627866001,14031.155749149044
165,512,1.3938222135232943e-06,6.538250224582408e-07,107418.04439245732,24247.974385307025
165,786,9.523134844004137e-07,4.7093677555086397e-07,169421.66131083047,40576.35339891697
165,1024,1.1360232237931147e-06,1.04943262847138e-06,181455.4348949217,86411.64690439939
165,2048,6.326203887982686e-07,7.480805792540928e-07,325190.6552313295,183408.08699010886
165,4096,1.7521404985544021e-07,8.191278934797539e-08,851698.322881625,203213.13458419184
165,8192,9.137187484603579e-08,4.5185095896359743e-08,1765778.9433312,422902.6552721727
185,128,5.832537583586804e-06,1.568281129613031e-06,21440.675131587643,5902.846844633488
185,256,3.078823446625958e-06,1.636986385587042e-06,53360.79508828813,13911.734992051555
185,512,1.7728768814704877e-06,1.1944404866681725e-06,98092.33889151337,35072.86433191838
185,786,1.0303664258140228e-06,5.120565630642722e-07,153241.7885456057,47800.47453846672
185,1024,8.223748873485354e-07,4.5229438416931257e-07,216730.62053286665,55641.05546467587
185,2048,1.0186849060848858e-06,8.581011746759876e-07,242991.56553572937,195168.35093870873
185,4096,2.3323615135826545e-07,1.306596711647599e-07,790162.1098619173,299325.3516930484
185,8192,1.5073968712337407e-07,1.3093108750665884e-07,1454996.5379715897,681178.5369107592
200,128,333333.3333364065,577350.2691869643,27263.669875452888,8159.137541853365
200,256,90909.09091275622,301511.344576548,50078.082993085525,18838.45303599697
200,512,111111.11111258385,333333.33333278104,107116.11679242065,26849.020447050727
200,786,100000.00000116281,316227.76601642935,146335.16600593785,57341.51943922165
200,1024,90909.09090991902,301511.34457748896,191411.87410212157,67455.949025917
200,2048,111111.11111168121,333333.3333331195,317590.597810637,185285.93469847064
200,4096,111111.11111163649,333333.33333313634,710077.9604881272,399984.32414455153
200,8192,111111.11111123598,333333.3333332865,1582563.8958333042,645959.6512251057
215,128,3.898168819947387e-06,,26437.54151247639,
215,256,3.297563429219372e-06,2.0836345634990553e-06,54676.740022810576,12972.663913684559
215,512,1.9199797316209193e-06,1.1081931728341202e-06,94564.09795378707,36618.48199968095
215,786,1.5637011465140438e-06,8.983957498592694e-07,129001.510840282,68023.1381352066
215,1024,1.206612522633951e-06,1.1378223699442358e-06,187846.64129221326,79737.17280087086
215,2048,1.115131793566958e-06,8.33025098129239e-07,217244.67511113762,186320.76965723536
215,4096,2.7904378845813023e-07,1.731502672719858e-07,718797.3272863539,342693.50248201255
215,8192,2.1793703873106096e-07,2.863220954379946e-07,1436948.0243934004,755013.7639040584
235,128,3.423827258544042e-06,,28927.861285302697,
235,256,4.402676042821875e-06,3.5897395252134267e-06,49040.13086041526,19355.487776688147
235,512,2.3537002158306675e-06,1.9062752780593236e-06,90854.76710010754,42140.28796190154
235,786,1.3194209570733047e-06,8.282821417747359e-07,149862.41129133417,59344.63097903029
235,1024,9.198357528843359e-07,5.146455581891368e-07,198796.40918355284,70031.13282063718
235,2048,7.40543968202926e-07,6.667683839924892e-07,258998.2032074846,175589.80194825484
235,4096,3.3736510768617387e-07,2.706457105101325e-07,677761.9094192549,366204.7293534066
235,8192,2.9382900276613305e-07,5.262521157840882e-07,1519337.3052510784,713848.6649207384
250,128,9.393475181214714e-06,7.313239845586008e-06,17538.762143132066,9782.50054931686
250,256,3.594287576892051e-06,1.8119191533824977e-06,45418.18099926679,16694.10213543962
250,512,1.5463572140750824e-06,8.911145272186851e-07,102800.14441198399,23499.796248741746
250,786,1.2440422880490097e-06,8.965212581650155e-07,144317.46066427926,51954.048337964414
250,1024,9.001646372693847e-07,4.89928026511362e-07,181605.3582581754,65902.14519411286
250,2048,7.241119111421078e-07,6.020899357161138e-07,266023.52686452627,158265.89941298292
250,4096,2.467898736906004e-07,1.3516781412383275e-07,699150.0251406989,307692.50586768036
250,8192,1.1230607512582534e-07,6.105457625098237e-08,1455574.5748524123,539371.6689436975
