vector_size,block_x,thread_count,predicted_time_ns,actual_time_ns,predicted_power,actual_power,mem_coal,mem_uncoal,mem_partial,local_insts,shared_insts,synch_insts,fp_insts,int_insts,sfu_insts,alu_insts,total_insts,registers_per_thread,shared_mem_bytes
1024,32,32,53506.77640000917,11014.40005004406,3630.624983610265,47.612,0,0,3,0,0,0,0,0,0,34,37,32,0
1024,64,64,75836.24713270552,11052.799969911575,3650.181891030349,58.462,0,0,3,0,0,0,0,0,0,34,37,32,0
1024,128,128,76196.67222038952,11219.199653714895,3669.738798450433,66.439,0,0,3,0,0,0,0,0,0,34,37,32,0
1024,256,256,76557.09730807353,12083.20027217269,3689.2957058705174,58.997,0,0,3,0,0,0,0,0,0,34,37,32,0
1024,512,512,76917.52239575754,11654.400173574686,3708.8526132906013,66.209,0,0,3,0,0,0,0,0,0,34,37,32,0
1024,1024,1024,54708.4328389259,11059.20011177659,3728.409520710685,60.758,0,0,3,0,0,0,0,0,0,34,37,32,0
8192,32,32,361073.4154301821,11340.80020710826,3630.624983610265,68.442,0,0,3,0,0,0,0,0,0,34,37,32,0
8192,64,64,539708.1754758786,11136.000230908394,3650.181891030349,62.223,0,0,3,0,0,0,0,0,0,34,37,32,0
8192,128,128,542590.5703614763,11500.800028443336,3669.738798450433,0.0,0,0,3,0,0,0,0,0,0,34,37,32,0
8192,256,256,545472.965247074,11526.39975771308,3689.2957058705174,60.683,0,0,3,0,0,0,0,0,0,34,37,32,0
8192,512,512,548355.3601326717,11840.000096708536,3708.8526132906013,68.175,0,0,3,0,0,0,0,0,0,34,37,32,0
8192,1024,1024,370681.63786214445,11270.400136709213,3728.409520710685,0.0,0,0,3,0,0,0,0,0,0,34,37,32,0
65536,32,32,2821606.5276715653,12665.600143373013,3630.624983610265,83.112,0,0,3,0,0,0,0,0,0,34,37,32,0
65536,64,64,4250683.602221263,11878.40010970831,3650.181891030349,75.577,0,0,3,0,0,0,0,0,0,34,37,32,0
65536,128,128,4273741.75549017,11468.800064176321,3669.738798450433,79.347,0,0,3,0,0,0,0,0,0,34,37,32,0
65536,256,256,4296799.908759078,11545.599903911352,3689.2957058705174,0.0,0,0,3,0,0,0,0,0,0,34,37,32,0
65536,512,512,4319858.062027985,11680.000275373459,3708.8526132906013,0.0,0,0,3,0,0,0,0,0,0,34,37,32,0
65536,1024,1024,2898467.2780478927,12000.00001117587,3728.409520710685,73.126,0,0,3,0,0,0,0,0,0,34,37,32,0
262144,32,32,45002253.0216525,15411.200001835823,3630.624983610265,104.445,0,0,3,0,0,0,0,0,0,34,37,32,0
262144,64,64,50902998.96762496,13094.40042823553,3650.181891030349,117.132,0,0,3,0,0,0,0,0,0,34,37,32,0
262144,128,128,51179695.513660006,12249.59995597601,3669.738798450433,130.756,0,0,3,0,0,0,0,0,0,34,37,32,0
262144,256,256,51456392.059695065,11871.999595314264,3689.2957058705174,89.163,0,0,3,0,0,0,0,0,0,34,37,32,0
262144,512,512,51733088.60573012,12460.800167173147,3708.8526132906013,89.697,0,0,3,0,0,0,0,0,0,34,37,32,0
262144,1024,1024,46232016.40639481,12480.000033974648,3728.409520710685,61.488,0,0,3,0,0,0,0,0,0,34,37,32,0
1048576,32,32,584913755.3601478,26956.799998879433,3630.624983610265,115.976,0,0,3,0,0,0,0,0,0,34,37,32,0
1048576,64,64,610730307.6327424,19244.79976296425,3650.181891030349,75.564,0,0,3,0,0,0,0,0,0,34,37,32,0
1048576,128,128,614050662.3055874,15724.800527095795,3669.738798450433,174.768,0,0,3,0,0,0,0,0,0,34,37,32,0
1048576,256,256,617371016.9784327,14284.80027243495,3689.2957058705174,78.986,0,0,3,0,0,0,0,0,0,34,37,32,0
1048576,512,512,620691371.6512775,13907.20009803772,3708.8526132906013,182.901,0,0,3,0,0,0,0,0,0,34,37,32,0
1048576,1024,1024,600900651.3426414,15904.000028967857,3728.409520710685,193.38,0,0,3,0,0,0,0,0,0,34,37,32,0
