Kernel,GridX,BlockX,DataSize,EstimatedTime(ns),ActualTime(ns),Difference(%),EstimatedPower(W),ActualPower(W)
vecAdd.cu,256,128,65536,5935.29,6960.00,14.72,50.67,50.22
vecAdd.cu,256,128,131072,5935.29,7168.00,17.20,50.67,50.38
vecAdd.cu,256,128,262144,5935.29,7008.00,15.31,50.67,50.52
vecAdd.cu,256,128,524288,5935.29,6976.00,14.92,50.67,50.62
vecAdd.cu,256,128,1048576,5935.29,6864.00,13.53,50.67,50.73
vecAdd.cu,256,256,65536,5935.29,7168.00,17.20,50.67,50.53
vecAdd.cu,256,256,131072,5935.29,7168.00,17.20,50.67,50.44
vecAdd.cu,256,256,262144,5935.29,7168.00,17.20,50.67,50.46
vecAdd.cu,256,256,524288,5935.29,7168.00,17.20,50.67,50.44
vecAdd.cu,256,256,1048576,5935.29,6976.00,14.92,50.67,50.52
vecAdd.cu,256,512,65536,5935.29,7168.00,17.20,50.67,50.55
vecAdd.cu,256,512,131072,5935.29,7168.00,17.20,50.67,50.60
vecAdd.cu,256,512,262144,5935.29,7168.00,17.20,50.67,50.54
vecAdd.cu,256,512,524288,5935.29,7168.00,17.20,50.67,50.51
vecAdd.cu,256,512,1048576,5935.29,7168.00,17.20,50.67,50.37
vecAdd.cu,512,128,65536,5935.29,7168.00,17.20,50.67,50.46
vecAdd.cu,512,128,131072,5935.29,7168.00,17.20,50.67,50.51
vecAdd.cu,512,128,262144,5935.29,7168.00,17.20,50.67,50.57
vecAdd.cu,512,128,524288,5935.29,7168.00,17.20,50.67,50.55
vecAdd.cu,512,128,1048576,5935.29,7056.00,15.88,50.67,50.71
vecAdd.cu,512,256,65536,5935.29,7168.00,17.20,50.67,50.49
vecAdd.cu,512,256,131072,5935.29,7168.00,17.20,50.67,50.47
vecAdd.cu,512,256,262144,5935.29,7136.00,16.83,50.67,50.39
vecAdd.cu,512,256,524288,5935.29,7168.00,17.20,50.67,50.50
vecAdd.cu,512,256,1048576,5935.29,7168.00,17.20,50.67,50.56
vecAdd.cu,512,512,65536,6942.59,7040.00,1.38,50.43,50.71
vecAdd.cu,512,512,131072,6942.59,7168.00,3.14,50.43,50.73
vecAdd.cu,512,512,262144,6942.59,7888.00,11.99,50.43,50.79
vecAdd.cu,512,512,524288,6942.59,7280.00,4.63,50.43,50.76
vecAdd.cu,512,512,1048576,6942.59,7376.00,5.88,50.43,50.75
vecAdd.cu,1024,128,65536,5935.29,7168.00,17.20,50.67,50.68
vecAdd.cu,1024,128,131072,5935.29,7168.00,17.20,50.67,50.70
vecAdd.cu,1024,128,262144,5935.29,7168.00,17.20,50.67,50.69
vecAdd.cu,1024,128,524288,5935.29,7168.00,17.20,50.67,50.80
vecAdd.cu,1024,128,1048576,5935.29,7168.00,17.20,50.67,50.88
vecAdd.cu,1024,256,65536,6942.59,7168.00,3.14,50.43,50.93
vecAdd.cu,1024,256,131072,6942.59,7264.00,4.42,50.43,51.01
vecAdd.cu,1024,256,262144,6942.59,7472.00,7.09,50.43,51.02
vecAdd.cu,1024,256,524288,6942.59,7328.00,5.26,50.43,50.97
vecAdd.cu,1024,256,1048576,6942.59,7392.00,6.08,50.43,50.91
vecAdd.cu,1024,512,65536,8957.18,7168.00,24.96,50.12,51.01
vecAdd.cu,1024,512,131072,8957.18,8096.00,10.64,50.12,50.85
vecAdd.cu,1024,512,262144,8957.18,8032.00,11.52,50.12,51.05
vecAdd.cu,1024,512,524288,8957.18,8192.00,9.34,50.12,51.12
vecAdd.cu,1024,512,1048576,8957.18,8192.00,9.34,50.12,51.26
matMul.cu,256,128,65536,8621.41,7136.00,20.82,53.13,51.21
matMul.cu,256,128,131072,8621.41,6208.00,38.88,53.13,51.25
matMul.cu,256,128,262144,8621.41,6848.00,25.90,53.13,51.17
matMul.cu,256,128,524288,8621.41,6896.00,25.02,53.13,51.22
matMul.cu,256,128,1048576,8621.41,6240.00,38.16,53.13,51.09
matMul.cu,256,256,65536,8621.41,6944.00,24.16,53.13,51.13
matMul.cu,256,256,131072,8621.41,6944.00,24.16,53.13,51.16
matMul.cu,256,256,262144,8621.41,6992.00,23.30,53.13,51.29
matMul.cu,256,256,524288,8621.41,7072.00,21.91,53.13,51.25
matMul.cu,256,256,1048576,8621.41,6848.00,25.90,53.13,51.30
matMul.cu,256,512,65536,8621.41,6368.00,35.39,53.13,51.28
matMul.cu,256,512,131072,8621.41,7088.00,21.63,53.13,51.24
matMul.cu,256,512,262144,8621.41,6848.00,25.90,53.13,51.18
matMul.cu,256,512,524288,8621.41,6656.00,29.53,53.13,51.03
matMul.cu,256,512,1048576,8621.41,6944.00,24.16,53.13,51.10
matMul.cu,512,128,65536,8621.41,16528.00,47.84,53.13,51.14
matMul.cu,512,128,131072,8621.41,7008.00,23.02,53.13,51.13
matMul.cu,512,128,262144,8621.41,6976.00,23.59,53.13,51.14
matMul.cu,512,128,524288,8621.41,7136.00,20.82,53.13,51.24
matMul.cu,512,128,1048576,8621.41,7040.00,22.46,53.13,51.25
matMul.cu,512,256,65536,8621.41,7072.00,21.91,53.13,51.28
matMul.cu,512,256,131072,8621.41,6848.00,25.90,53.13,51.38
matMul.cu,512,256,262144,8621.41,7104.00,21.36,53.13,51.39
matMul.cu,512,256,524288,8621.41,6864.00,25.60,53.13,51.43
matMul.cu,512,256,1048576,8621.41,7008.00,23.02,53.13,51.46
matMul.cu,512,512,65536,12314.82,7168.00,71.80,51.91,51.46
matMul.cu,512,512,131072,12314.82,7120.00,72.96,51.91,51.47
matMul.cu,512,512,262144,12314.82,7168.00,71.80,51.91,51.51
matMul.cu,512,512,524288,12314.82,7136.00,72.57,51.91,51.52
matMul.cu,512,512,1048576,12314.82,7168.00,71.80,51.91,51.46
matMul.cu,1024,128,65536,8621.41,7168.00,20.28,53.13,51.42
matMul.cu,1024,128,131072,8621.41,7168.00,20.28,53.13,51.42
matMul.cu,1024,128,262144,8621.41,7104.00,21.36,53.13,51.34
matMul.cu,1024,128,524288,8621.41,7168.00,20.28,53.13,51.31
matMul.cu,1024,128,1048576,8621.41,7104.00,21.36,53.13,51.38
matMul.cu,1024,256,65536,12314.82,7152.00,72.19,51.91,51.50
matMul.cu,1024,256,131072,12314.82,7168.00,71.80,51.91,51.48
matMul.cu,1024,256,262144,12314.82,7168.00,71.80,51.91,51.65
matMul.cu,1024,256,524288,12314.82,7168.00,71.80,51.91,51.73
matMul.cu,1024,256,1048576,12314.82,7168.00,71.80,51.91,51.78
matMul.cu,1024,512,65536,19701.65,7168.00,174.86,50.83,51.78
matMul.cu,1024,512,131072,19701.65,7168.00,174.86,50.83,51.77
matMul.cu,1024,512,262144,19701.65,7168.00,174.86,50.83,51.62
matMul.cu,1024,512,524288,19701.65,7168.00,174.86,50.83,51.50
matMul.cu,1024,512,1048576,19701.65,7232.00,172.42,50.83,51.39
laplace3d.cu,256,128,65536,8173.72,6256.00,30.65,52.83,51.35
laplace3d.cu,256,128,131072,8173.72,10240.00,20.18,52.83,51.32
laplace3d.cu,256,128,262144,8173.72,6208.00,31.66,52.83,51.36
laplace3d.cu,256,128,524288,8173.72,6192.00,32.00,52.83,51.40
laplace3d.cu,256,128,1048576,8173.72,6928.00,17.98,52.83,51.47
laplace3d.cu,256,256,65536,8173.72,6880.00,18.80,52.83,51.57
laplace3d.cu,256,256,131072,8173.72,6880.00,18.80,52.83,51.64
laplace3d.cu,256,256,262144,8173.72,6368.00,28.36,52.83,51.69
laplace3d.cu,256,256,524288,8173.72,6880.00,18.80,52.83,51.70
laplace3d.cu,256,256,1048576,8173.72,6896.00,18.53,52.83,51.68
laplace3d.cu,256,512,65536,8173.72,6880.00,18.80,52.83,51.58
laplace3d.cu,256,512,131072,8173.72,6976.00,17.17,52.83,51.55
laplace3d.cu,256,512,262144,8173.72,6848.00,19.36,52.83,51.53
laplace3d.cu,256,512,524288,8173.72,7008.00,16.63,52.83,51.57
laplace3d.cu,256,512,1048576,8173.72,6864.00,19.08,52.83,51.53
laplace3d.cu,512,128,65536,8173.72,7008.00,16.63,52.83,51.58
laplace3d.cu,512,128,131072,8173.72,6848.00,19.36,52.83,51.63
laplace3d.cu,512,128,262144,8173.72,6912.00,18.25,52.83,51.65
laplace3d.cu,512,128,524288,8173.72,7040.00,16.10,52.83,51.73
laplace3d.cu,512,128,1048576,8173.72,6384.00,28.03,52.83,51.62
laplace3d.cu,512,256,65536,8173.72,7008.00,16.63,52.83,51.66
laplace3d.cu,512,256,131072,8173.72,6816.00,19.92,52.83,51.70
laplace3d.cu,512,256,262144,8173.72,7104.00,15.06,52.83,51.63
laplace3d.cu,512,256,524288,8173.72,6656.00,22.80,52.83,51.50
laplace3d.cu,512,256,1048576,8173.72,6400.00,27.71,52.83,51.61
laplace3d.cu,512,512,65536,11419.45,7168.00,59.31,51.76,51.66
laplace3d.cu,512,512,131072,11419.45,7072.00,61.47,51.76,51.65
laplace3d.cu,512,512,262144,11419.45,7168.00,59.31,51.76,51.66
laplace3d.cu,512,512,524288,11419.45,7168.00,59.31,51.76,51.68
laplace3d.cu,512,512,1048576,11419.45,7072.00,61.47,51.76,51.69
laplace3d.cu,1024,128,65536,8173.72,7168.00,14.03,52.83,51.55
laplace3d.cu,1024,128,131072,8173.72,7104.00,15.06,52.83,51.51
laplace3d.cu,1024,128,262144,8173.72,7168.00,14.03,52.83,51.54
laplace3d.cu,1024,128,524288,8173.72,7152.00,14.29,52.83,51.46
laplace3d.cu,1024,128,1048576,8173.72,7136.00,14.54,52.83,51.48
laplace3d.cu,1024,256,65536,11419.45,7168.00,59.31,51.76,51.47
laplace3d.cu,1024,256,131072,11419.45,7136.00,60.03,51.76,51.48
laplace3d.cu,1024,256,262144,11419.45,7168.00,59.31,51.76,51.40
laplace3d.cu,1024,256,524288,11419.45,7168.00,59.31,51.76,51.38
laplace3d.cu,1024,256,1048576,11419.45,7168.00,59.31,51.76,51.48
laplace3d.cu,1024,512,65536,17910.90,7168.00,149.87,50.78,51.43
laplace3d.cu,1024,512,131072,17910.90,7168.00,149.87,50.78,51.38
laplace3d.cu,1024,512,262144,17910.90,7168.00,149.87,50.78,51.39
laplace3d.cu,1024,512,524288,17910.90,7168.00,149.87,50.78,51.54
laplace3d.cu,1024,512,1048576,17910.90,7168.00,149.87,50.78,51.51
