block_size_x,block_size_y,SM_Occupancy,Joules/token,FLOPS/Watt
1,32,2.083333333333333,3.532483978683232e-05,8348572896.003094
1,32,2.0833333333333335,3.558479655512867e-05,8287584264.901346
1,32,2.083333333333333,3.535218909047958e-05,8342114239.24015
1,32,2.083333333333333,3.5307528773655395e-05,8352666137.881836
1,32,2.083333333333333,3.8217386655742306e-05,7716697184.36094
1,32,2.083333333333333,3.53625038944728e-05,8339680947.934659
1,32,2.0833333333333335,3.59976808838422e-05,8192527761.764042
1,32,2.083333333333333,3.642788860736622e-05,8095775277.526372
1,32,2.0833333333333335,3.725058136892453e-05,7916977109.141813
1,32,2.083333333333333,3.553176699124587e-05,8299953111.610208
2,16,2.0833333333333335,3.6099489108823864e-05,8169423093.799799
2,16,2.0833333333333335,3.716453141908782e-05,7935307906.197151
2,16,2.083333333333333,3.722215095018865e-05,7923024126.001114
2,16,2.083333333333333,3.704212797308961e-05,7961529645.765703
2,16,2.083333333333333,3.821052109785999e-05,7718083698.589413
2,16,2.0833333333333335,3.615614561573188e-05,8156621646.962308
2,16,2.083333333333333,3.6341455188811655e-05,8115030024.74138
2,16,2.083333333333333,3.643280037482579e-05,8094683827.921646
2,16,2.0833333333333335,3.6003242407764e-05,8191262238.547799
2,16,2.083333333333333,3.667914953819993e-05,8040317284.152416
4,8,2.0833333333333335,3.853856779372941e-05,7652386087.061206
4,8,2.0833333333333335,3.8393555237041386e-05,7681289168.956003
4,8,2.083333333333333,3.841711499747303e-05,7676578525.46706
4,8,2.083333333333333,3.865187737067333e-05,7629952800.785844
1,64,4.165558038420898,3.600447644604266e-05,8190981486.4816475
1,64,4.165834586653854,3.590868615900166e-05,8212831811.616446
1,64,4.165563119111816,3.7036975211207756e-05,7962637292.009654
1,64,4.16556248146701,3.805634732753038e-05,7749351178.184603
1,64,4.165558945643437,3.7070564166963515e-05,7955422492.944394
1,64,4.1655581421128485,3.7735538978676005e-05,7815232218.271799
1,64,4.165561174059159,3.6437770638126985e-05,8093579679.416945
1,64,4.1655622840607185,3.6349879084950464e-05,8113149408.579439
1,64,4.165835193753976,3.7418034273648325e-05,7881547112.903576
1,64,4.165834759707142,3.5947338126103085e-05,8204001057.476083
2,32,4.1658772823075285,3.6836930608269235e-05,8005878750.760995
2,32,4.165877578182229,3.708251905546419e-05,7952857775.355043
2,32,4.165621642757836,3.861993419793123e-05,7636263658.25858
2,32,4.1658693742388735,3.8234841848007503e-05,7713174312.904043
2,32,4.165613310212159,3.7540623768659103e-05,7855809797.337681
2,32,4.1658773882250175,3.66109475776667e-05,8055295465.225854
2,32,4.165877491000109,3.645208662830242e-05,8090401051.856989
2,32,4.165877491000109,3.810720601369523e-05,7739008729.582863
4,16,4.165955181156069,3.870604452170017e-05,7619275067.868546
4,16,4.165717600666244,3.846829461610773e-05,7666365326.122678
4,16,4.165955231773631,3.84551581631249e-05,7668984190.599287
4,16,4.16594023966754,3.8472979159274454e-05,7665431854.8894415
